Hindi,English
इतनी,So much
लड़के,boys
गिर,fall
संगीत,music
रास्ता,way
युद्ध,war
रास्ते,ways
हमारा,Our
जारी,Ongoing
मन,Mind
लड़ाई,battle
डाला,inserted
शुक्रिया,Thanks
मुश्किल,difficult
आराम,Rest
चुका,paid off
प्रिय,Dear
झूठ,Lie
बंदूक,gun
खुशी,Happiness
नरक,hell
आशा,Hope
चुप,Silent
उपयोग,Use
सवाल,Question
आपने,You
वैसे,By the way
देश,Country
रखो,Please Keep
असली,Real
बड़ी,Big
जैसा,As
सुन,Listen
हाय,Hi
चोट,Injury
रखा,kept
मौत,Death
पापा,Father
पर्याप्त,Sufficient
पुरुषों,men
शांत,Calm
पुराने,old
हंसते,laughing
सा,Like
दें,give
पकड़,grasp
बहन,Sister
सामने,Front
सुरक्षा,Security
खाने,to eat
खाना,Eat
चाचा,Uncle
बन,become
अमेरिका,America
परेशान,Worried
बच्चा,Child
सी,C
जवाब,answer
सेना,Army
आसान,Easy
पैसा,Money
ऐसे,This way
महीने,month
रखने,to keep
छोटी,Small
अलविदा,goodbye
कदम,step
अगले,next
भाग,Part
नमस्ते,hello
सारे,all
लंबे,long
देते,give
कॉल,Call
छोटा,Small
भाड़,Screw
बनाया,Make
हमने,We
स्थिति,Situation
इस्तेमाल,use
परवाह,care
कैसा,How?
होती,would have been
गलती,Mistake
राम,Ram
नष्ट,destroyed
स्वागत,Welcome
अजीब,Strange
रह,stay
व्यक्ति,Person
मूर्ख,Idiot
तुम्हे,To you
सिकंदर,Alexander
मै,i
मालिक,Owner
गंदगी,dirt
रखें,keep
नौकरी,Job
हांक,hank
जीत,Victory
कंपनी,company
लेंगे,will take
चारों,all four
तस्वीर,picture
रहता,remains
कहानी,Story
खड़े,standing
रोक,Stoppage
बातें,things
अकेले,Lonely
किस,What
साफ,Clean
िलए,for
मौका,Opportunity
भरोसा,Reliance
चिल्ला,screaming
जहाँ,Where
कसम,swear
सारा,Sara
करीब,near
जान,Life
तुलना,Compare
इतने,So much
कब,When?
यात्रा,Travel
हमला,assault
रक्षा,protect
पाया,Found
जल्द,Soon
पति,Husband
गयी,went
जहाज,ship
बेबी,Baby
हवा,Air
आती,comes
दरवाजा,Door
जाएगी,will go
कहता,says
स्कॉट,Scott
मिलेगा,will get
मां,Mother
वाली,the one
वजह,Reason
महत्वपूर्ण,Important
जय,Victory
अकेला,alone
सामान,stuff
सो,s / o
रख,keep
शामिल,Involved
नया,New
मिलने,to meet
निश्चित,Fixed
करनी,to do
स्कूल,School
जेल,Jail
तरफ,Side
बड़े,elder
पल,Moment
अंतिम,Last
ब्रायन,brian
पैदा,born
चार,Four
कितने,How many?
कहने,to say
इंदर,indar
इंतज़ार,wait
जी,Yes
मातृभाषा,Mother tongue
अस्पताल,hospital
जाँच,Check
बर्बाद,Ruined
दर्द,Pain
दिनों,days
शॉन,shaun
पृथ्वी,Earth
महिलाओं,women
पूछ,ask
लगभग,About
नफरत,Hate
बताने,tell
देखें,see
ट्रेवर,Trevor
सप्ताह,Week
बेशक,Of course!
डॉक्टर,Doctor
पांच,Five
स्पष्ट,clear
लगी,felt
इसकी,his
तोड़,the break
मजाक,Joke
पालन,Compliance
यहीं,right here
खाता,Account
क्षेत्र,Area
भर,Filled
मामले,cases
खबर,News
ज़रूरत,need